country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,,,,,,1400,6960,12.3k,14k,16k,18.4k,18.8k,19.2k,,,19.2k,19.2k,19k,,,,19k,19k,
Afghanistan,,,,,,,200,220,500,500,500,1000,1500,,1500,1500,1500,7070,8800,9180,16k,19.7k,26.6k,
Angola,,,,,,,,,7460,11.7k,15.9k,15k,15k,15.8k,20.5k,22.3k,87.8k,154k,84.7k,96.9k,110k,119k,230k,273k
Albania,,,,,,,,272,272,10k,64k,92k,106k,128k,160k,183k,208k,243k,266k,304k,362k,436k,509k,559k
Andorra,,,,,1150,3600,6280,10.3k,14.6k,18.5k,20.7k,22.9k,24.5k,25.8k,26.9k,27.7k,28.8k,30.7k,32.5k,34.3k,35.7k,36.4k,37k,
UAE,,367,1970,8370,16.6k,30.3k,56.1k,129k,241k,380k,558k,690k,787k,867k,955k,1.04M,1.09M,1.23M,1.3M,2.76M,3.02M,3.05M,3.25M,3.57M
Argentina,,,,94k,148k,259k,543k,927k,1.58M,2.6M,3.11M,3.51M,4.03M,4.57M,5.15M,6.25M,6.52M,6.86M,7.25M,7.84M,8.47M,8.79M,9.57M,10.5M
Armenia,,,,6,8,10,1000,1990,,3900,13.8k,39.9k,93.6k,161k,212k,243k,273k,286k,299k,315k,347k,386k,430k,467k
Antigua and Barbuda,,,,,,,1660,5800,1540,2270,4990,16k,7120,6000,13.1k,15.6k,10.8k,10k,9260,9000,,8000,8000,
Australia,,,,123k,258k,517k,1.01M,2.02M,3.9M,3.9M,5.32M,5.22M,5.51M,5.55M,5.74M,5.98M,6.54M,6.83M,7.37M,7.92M,8.43M,8.8M,9.1M,9.08M
Austria,,50.9k,191k,321k,451k,601k,870k,1.17M,1.43M,1.62M,1.73M,1.88M,2.05M,2.1M,2.13M,2.23M,2.36M,2.46M,2.52M,2.51M,2.52M,2.52M,2.61M,2.59M
Azerbaijan,,,,,1000,,,2180,3960,14.6k,60k,100k,475k,974k,1.37M,1.71M,1.9M,1.9M,1.8M,1.81M,1.89M,1.94M,2M,2.06M
Burundi,,,,,,,,,,,160,160,352,497,702,1530,1700,2770,3250,3910,3940,3890,4230,3950
Belgium,10.9k,23k,144k,460k,815k,1.24M,1.62M,2.01M,2.45M,2.73M,2.98M,3.15M,3.37M,3.54M,3.69M,3.83M,4.01M,4.12M,4.27M,4.38M,4.5M,4.59M,4.73M,4.92M
Benin,,,,,21,21,81,196,1500,710,8420,19.1k,27k,37.5k,41.8k,42.5k,45.4k,73.3k,22.3k,28.6k,27k,25.4k,30k,20.7k
Burkina Faso,,,,,50,145,154,384,1720,6730,10.3k,11.9k,13.7k,14.1k,14.3k,13k,5410,9350,12.4k,12.4k,13.8k,12k,14k,16.3k
Bangladesh,,,,,,,,,,43.7k,50k,317k,415k,469k,600k,1.53M,3.09M,4.89M,6.59M,7.3M,8.05M,8.09M,10.1M,10.1M
Bulgaria,,,,,,,6650,165k,385k,629k,844k,998k,1.12M,1.26M,1.33M,1.42M,1.48M,1.61M,1.7M,1.8M,1.9M,2.01M,2.12M,2.25M
Bahrain,,,,1180,4980,9740,15k,21.4k,38.6k,68.3k,93.6k,140k,155k,292k,295k,300k,288k,253k,232k,194k,126k,141k,149k,162k
Bahamas,,,,4140,7540,10.9k,12.8k,13.4k,16.6k,20.5k,25.5k,31.6k,24.7k,15.5k,77.9k,72.5k,77.2k,81k,85.1k,86.9k,81.2k,82.3k,83k,
Bosnia and Herzegovina,,,27,68,213,1500,6640,13.7k,40k,84.7k,188k,292k,391k,430k,469k,516k,542k,635k,662k,700k,716k,746k,770k,798k
Belarus,,,,,20,123,750,1560,11.4k,170k,478k,1.09M,1.67M,2.1M,2.53M,2.79M,2.68M,2.9M,3.07M,3.16M,3.2M,3.21M,3.26M,3.24M
Belize,,,,,,940,2830,5020,7250,7480,8050,8340,8920,9700,9970,9900,9900,17.4k,18.4k,19k,24.7k,29.6k,36k,
Bermuda,,,,,,,,18.5k,23.6k,28.8k,34k,40k,40.1k,,,40.1k,34.7k,30k,22.8k,22.8k,,23k,23k,
Bolivia,,,,,3330,5740,8720,13k,17.6k,34k,79.3k,96.1k,95.9k,73.5k,117k,154k,173k,181k,288k,380k,504k,747k,932k,1.13M
Brazil,1000,7000,100k,331k,731k,966k,3.16M,3.23M,4.77M,7.61M,10M,11.7M,14.1M,17.8M,19.1M,21.4M,24M,25.5M,26.9M,28.9M,31.2M,32.9M,36.3M,41.5M
Barbados,,,,,,27.3k,29.6k,31.9k,38.8k,47.1k,49.2k,57.3k,56.2k,62.6k,66.9k,67.8k,77.7k,78.3k,86.9k,89.3k,89.3k,107k,128k,103k
Brunei,,,,1900,2760,3840,6260,8130,8960,11.6k,16.9k,20k,21.7k,23.2k,19.8k,27.6k,30.3k,34.4k,36.1k,41.1k,49.5k,54.2k,71.1k,79.4k
Bhutan,,,,,,,,,,,2060,3380,8680,13.2k,16.8k,20.5k,25k,27.9k,16.5k,16.7k,10.8k,8770,3190,2780
Botswana,,,,,,,,1600,1800,3540,8900,10k,12k,19.1k,22.2k,21.6k,33.3k,36.8k,59.1k,32.4k,40k,49.3k,260k,203k
Central African Republic,,,,,,,,,,,,,,810,605,,,1860,736,619,608,499,,
Canada,140k,582k,1.41M,2.84M,3.52M,4.51M,5.42M,7M,8.04M,9.08M,9.84M,10.3M,10.8M,11.3M,11.7M,12.1M,12.6M,13.1M,13.4M,13.9M,14.4M,15.1M,15.8M,16.5M
