country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,1720,3000,3400,5380,12k,15k,53k,61.8k,70k,98.4k,103k,109k,114k,121k,128k,132k,,135k,139k,140k,141k,,,,141k,141k,
Afghanistan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25k,200k,600k,1.2M,2.52M,4.67M,7.9M,10.5M,10.2M,13.8M,15.3M,16.8M,18.4M,19.7M,21.6M,23.9M,22M,22.6M,22.7M,
Angola,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1820,1990,3300,7050,9820,24k,25.8k,75k,140k,350k,740k,1.61M,3.05M,4.96M,6.77M,8.11M,9.4M,12.1M,12.8M,13.3M,14.1M,13.9M,13M,13.3M,13.3M,14.8M,14.6M,15.3M
Albania,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,3300,5600,11k,29.8k,393k,851k,1.1M,1.26M,1.53M,1.91M,2.32M,1.86M,2.46M,2.69M,3.1M,3.5M,3.69M,3.36M,3.4M,3.37M,3.63M,2.71M,2.63M,2.62M,2.64M
Andorra,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,780,784,2830,5490,8620,14.1k,20.6k,23.5k,29.4k,32.8k,51.9k,58.4k,64.6k,69k,63.5k,64.2k,64.5k,65.5k,65k,63.9k,63.9k,66.2k,71.3k,76.1k,80.3k,82.6k,87.9k,94k,
UAE,,,,,,,,,,,,,,,,,,,,,,,2330,3560,4940,7920,11.2k,13.7k,13.8k,24.9k,33.6k,43k,48.9k,70.6k,91.5k,129k,194k,309k,493k,832k,1.43M,1.91M,2.43M,2.97M,3.68M,4.53M,5.52M,7.73M,9.36M,10.7M,10.9M,11.7M,13.8M,16.1M,16.8M,17.9M,19.9M,19.8M,20.1M,19.6M,18.4M,18.2M
Argentina,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,12k,25k,46.6k,112k,241k,405k,667k,2.01M,2.67M,3.85M,6.49M,6.74M,6.57M,7.84M,13.5M,22.2M,31.5M,40.4M,46.5M,52.5M,57.1M,60.7M,64.3M,67.4M,61.2M,61.8M,63.7M,61.9M,58.6M,56.4M,54.8M,59.1M
Armenia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,5000,7830,8160,17.5k,25.5k,71.3k,114k,203k,318k,1.26M,1.88M,1.44M,2.19M,3.87M,3.21M,3.32M,3.35M,3.46M,3.46M,3.43M,3.49M,3.58M,3.62M,3.49M,3.6M
American Samoa,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,900,1200,1250,1300,1400,1500,1800,1990,2160,2040,2100,2250,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,1300,1400,1500,8500,22k,25k,38.2k,46.1k,54k,86k,110k,112k,137k,135k,168k,176k,127k,114k,120k,176k,180k,184k,,184k,184k,
Australia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4420,31.6k,94.5k,185k,291k,497k,690k,1.22M,2.24M,3.99M,4.58M,4.92M,6.32M,8.56M,11.1M,12.7M,14.3M,16.5M,18.4M,19.8M,21.3M,22.1M,22.2M,22.5M,23.8M,24.3M,24.9M,25.1M,25.8M,26.6M,26.7M,27.6M,27.5M,27.5M,27.1M
Austria,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,9760,19.1k,26.2k,36.9k,50.7k,73.7k,115k,172k,221k,278k,384k,599k,1.16M,2.29M,4.25M,6.12M,6.54M,6.74M,7.27M,7.99M,8.66M,9.28M,9.91M,10.8M,11.4M,12.2M,13M,13.6M,13.3M,13M,13.5M,11.1M,10.9M,11M,10.7M,10.7M,10.9M
Azerbaijan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,6000,17k,40k,65k,370k,420k,730k,794k,1.06M,1.46M,2.24M,3.32M,4.52M,6.55M,7.76M,9.1M,10.1M,10.1M,10.1M,10.6M,10.7M,10.2M,10.1M,10.3M,10.8M,10.3M,10.8M
Burundi,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,378,564,561,619,620,800,16.3k,33.4k,52k,64k,101k,153k,200k,270k,481k,921k,1.68M,1.91M,2.25M,2.54M,3.19M,5M,5.36M,5.92M,6.32M,6.53M,6.63M,7.74M
