country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Aruba,,,,,,,,,,,,,,,,7930,10k
Afghanistan,,,,,,,,,,,,,,,,85k,100k
Angola,,,,,,,,8000,10k,12k,15k,17k,27k,,,93.4k,111k
Anguilla,,,,,,,,,,,,,,1500,1770,2500,
Albania,,,,,,,5000,10k,15k,20k,25k,30k,36k,42k,48k,54k,120k
UAE,,,60k,77.8k,96k,115k,160k,200k,250k,300k,400k,420k,450k,650k,850k,1.05M,1.4M
Argentina,235k,290k,330k,460k,1.18M,1.24M,1.47M,1.71M,1.92M,2.1M,2.56M,2.9M,3M,3.1M,3.2M,3.5M,
Armenia,,,,,,,,9000,15k,20k,25k,35k,60k,103k,200k,297k,
Antigua and Barbuda,,,,,,,,,,,,8000,9000,10k,11k,12.1k,17.5k
Australia,2.56M,2.77M,3.22M,3.67M,4.29M,4.98M,5.3M,6.1M,6.9M,8M,9M,10M,11.1M,12M,,,
Austria,500k,600k,700k,800k,900k,1.3M,1.4M,1.7M,1.9M,2.3M,2.9M,3.4M,3.9M,4.5M,4.73M,5M,
Azerbaijan,,,,,,,,,,,,57.6k,84.3k,123k,149k,195k,177k
Burundi,,,,,,,,,,,4000,4000,4200,13k,34k,55k,65k
Belgium,876k,995k,1.2M,1.4M,1.6M,1.8M,1.95M,2.1M,2.2M,2.25M,2.3M,2.4M,2.8M,3.3M,3.63M,3.95M,4.4M
Benin,,,,,,3000,4000,5000,7000,9000,10k,11k,15k,25.8k,30k,32k,50k
Burkina Faso,1020,,,1800,2200,2700,5000,8000,10k,12k,15k,30k,50k,60k,70k,80k,90k
Bangladesh,,,,,,,,30k,120k,130k,200k,250k,450k,1.05M,1.65M,2.25M,3.5M
Bulgaria,,,90k,100k,120k,140k,160k,180k,200k,220k,361k,380k,405k,432k,461k,,
Bahrain,,,,,,29.3k,40k,50k,60k,93k,95k,100k,107k,114k,121k,128k,135k
Bahamas,,,,,,,,,,,,,28k,31k,34k,40k,
Bosnia and Herzegovina,,,,,,,,,,,,143k,156k,172k,192k,212k,242k
Belarus,,,,,,,,,,,,,,,,79k,
Belize,,,,,,6000,10k,15k,20k,25k,30k,33k,35k,37k,39k,41k,43k
Bermuda,,,,,,20k,22k,24k,26k,28k,30k,32k,34k,,14.3k,,
Bolivia,,15k,17k,20k,22k,25k,28k,30k,60k,100k,140k,170k,190k,200k,210k,220k,
Brazil,450k,650k,950k,1.3M,1.8M,2.7M,3.4M,4.2M,5M,6.1M,8.5M,10.8M,13M,15.7M,24M,30M,
Barbados,,,,,,15k,16k,18k,20k,21k,22k,25k,28k,31k,34k,40k,
Brunei,,,3000,5000,8000,11k,13k,15k,17k,20k,23k,25k,27k,29k,31k,33k,
Bhutan,,,,,,,,,2500,3000,5000,7000,10k,10k,11k,13k,15k
Botswana,,,,,10k,15k,20k,30k,40k,50k,60k,65k,70k,75k,80k,86k,90k
Central African Republic,,,,,,,,,3500,5000,6000,7000,8000,10k,11k,12k,
Canada,2.9M,3.5M,4.1M,4.9M,5.7M,6.4M,7.3M,8.2M,9.4M,11.1M,12.9M,14.2M,15.3M,16.5M,22.4M,28.3M,30.8M
Switzerland,600k,750k,900k,1.2M,1.6M,2M,2.4M,2.8M,3M,3.3M,4.7M,4.94M,5.16M,5.43M,6.11M,6.43M,6.63M
Chile,123k,176k,229k,296k,369k,474k,559k,653k,936k,1.15M,1.42M,1.64M,1.8M,2M,2.14M,2.3M,
China,500k,800k,1.1M,1.4M,2M,2.8M,4.5M,7.5M,11.2M,15.5M,20.6M,25M,35.5M,50.4M,53M,63.5M,74.1M
Cote d'Ivoire,,,,,,,20k,50k,65k,80k,90k,118k,154k,201k,262k,323k,
Cameroon,,,,,,20k,25k,30k,35k,40k,50k,60k,90k,120k,160k,200k,
"Congo, Dem. Rep.",,,,,,,,,,,,7000,8000,10k,11k,12k,
"Congo, Rep.",,,,,,,,,9000,10k,11k,12k,13k,15k,17k,19k,
Colombia,,,320k,390k,500k,630k,920k,1.21M,1.3M,1.4M,1.5M,1.55M,1.6M,1.67M,1.76M,1.89M,2.49M
Comoros,37,,,,,162,,,1500,2000,3000,4000,4200,4600,5000,5400,
Cape Verde,,,,,,,,1500,5000,20k,25k,30k,35k,41k,48k,55k,62k
Costa Rica,,,,,,,,250k,300k,400k,600k,700k,817k,910k,930k,1M,
Cuba,,,,,,,,60k,70k,110k,135k,220k,250k,270k,300k,377k,400k
